City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,79.59,overcast clouds,-23.1203,-134.9692,People ThankYou
1,Puerto Ayora,EC,78.51,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
2,Pangai,TO,80.65,light rain,-19.8,-174.35,Ha'apai Beach Resort
7,Mount Isa,AU,96.57,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
9,Hobart,AU,73.26,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
11,Port Moresby,PG,82.6,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
15,San Cristobal,VE,71.78,clear sky,7.7669,-72.225,Pirineos
16,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
17,Mecca,SA,62.15,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
18,Pimentel,PE,70.84,scattered clouds,-6.8367,-79.9342,Hotel Puerto del Sol
19,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
21,Comodoro Rivadavia,AR,60.66,clear sky,-45.8667,-67.5,Austral Hotel
26,Mataura,NZ,67.73,few clouds,-46.1927,168.8643,Ellie's Villa
28,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
29,Bluff,NZ,60.39,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
30,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Namatanai,PG,86.5,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
35,Busselton,AU,80.26,broken clouds,-33.65,115.3333,Observatory Guest House
36,Bengkulu,ID,83.71,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
38,Carnarvon,AU,85.89,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
39,Birjand,IR,60.62,few clouds,32.8663,59.2211,Birjand Tourist Hotel
41,Burnie,AU,73.94,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
42,Guerrero Negro,MX,65.52,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
43,Cape Town,ZA,63.27,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
44,Riyadh,SA,61.16,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
49,Port Keats,AU,91.35,moderate rain,-14.25,129.55,TDC Village (Hundred Man Camp)
50,Ponta Do Sol,PT,62.01,broken clouds,32.6667,-17.1,Hotel do Campo
55,Bandarbeyla,SO,76.33,scattered clouds,9.4942,50.8122,JABIR HOTEL
56,Arraial Do Cabo,BR,75.78,clear sky,-22.9661,-42.0278,Pousada Porto Praia
57,Yining,CN,63.57,overcast clouds,29.0361,114.5636,Xiushui Hotel
58,Geraldton,AU,97.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
60,Butaritari,KI,80.69,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
62,Saint-Pierre,RE,77.92,clear sky,-21.3393,55.4781,Lindsey Hôtel
63,Castro,BR,64.49,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
66,Lompoc,US,61.12,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
67,Oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
71,Beniganj,IN,85.12,clear sky,27.2833,80.45,ADARS JAN SEVA KENDRA
72,Namibe,AO,72.45,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
73,Sao Felix Do Xingu,BR,71.92,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
74,Riberalta,BO,74.5,scattered clouds,-10.9833,-66.1,Hotel Colonial
78,Kishi,NG,78.98,broken clouds,9.0833,3.85,New NCCF KISI
81,Lorengau,PG,84.15,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
83,Sola,VU,82.94,broken clouds,-13.8833,167.55,Leumerus Bungalows
85,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
86,Hilo,US,78.53,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
87,New Norfolk,AU,72.91,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
88,Faanui,PF,81.59,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
89,Port Alfred,ZA,67.57,moderate rain,-33.5906,26.891,The Halyards Hotel
90,Matamoros,MX,62.71,clear sky,25.5333,-103.25,Quinta Belem
91,Nouadhibou,MR,61.48,clear sky,20.931,-17.0347,El Medina
96,Cidreira,BR,72.36,overcast clouds,-30.1811,-50.2056,Hotel Castelo
99,Camana,PE,69.37,scattered clouds,-16.6228,-72.7111,Hostal Morales
102,Bambous Virieux,MU,78.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
104,Hasaki,JP,63.28,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
105,Karanpura,IN,81.91,clear sky,29.1018,75.092,सहारण भवन
108,Alice Springs,AU,83.75,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
111,Cabo San Lucas,MX,74.52,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
116,Galveston,US,62.94,clear sky,29.3669,-94.9669,Crystal Suites
117,Dali,CN,62.53,scattered clouds,25.7,100.1833,Dali Travelling With Hostel
119,Tuatapere,NZ,64.56,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
122,Codrington,AU,67.69,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
123,Esperance,AU,72.88,clear sky,-33.8667,121.9,Hospitality Esperance
124,Coolum Beach,AU,83.34,clear sky,-26.5333,153.1,Coolum Beach Resort
126,Sorong,ID,81.68,light rain,-0.8833,131.25,Waigo Splash Hotel
128,Nakhon Nayok,TH,90.99,broken clouds,14.1667,101.1,ห้างหุ้นส่วนจำกัด เอสพีรีสอร์ท
130,Saldanha,ZA,61.72,clear sky,-33.0117,17.9442,Blue Bay Lodge
137,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
138,Pathein,MM,86.13,broken clouds,16.7833,94.7333,Pathein Hotel
139,East London,ZA,68.77,broken clouds,-33.0153,27.9116,Tu Casa
141,Saint-Philippe,RE,76.59,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
142,Mont-Dore,NC,84.18,overcast clouds,-22.2833,166.5833,GIte
143,Itarema,BR,76.89,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
144,Ikwiriri,TZ,72.23,clear sky,-7.9562,38.9716,Greenland lodge
