City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,79.59,72,94,14.43,overcast clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,78.51,81,94,8.34,overcast clouds
2,Pangai,TO,-19.8,-174.35,80.65,78,100,9.44,light rain
3,College,US,64.8569,-147.8028,30.18,44,75,6.91,broken clouds
4,Upernavik,GL,72.7868,-56.1549,6.37,78,100,5.1,overcast clouds
5,Balkanabat,TM,39.5108,54.3671,49.32,86,99,4.88,overcast clouds
6,Rivers,CA,50.0308,-100.2403,29.26,79,100,26.06,overcast clouds
7,Mount Isa,AU,-20.7333,139.5,96.57,21,44,8.05,scattered clouds
8,Lasa,IT,46.6166,10.7002,40.03,70,1,2.04,clear sky
9,Hobart,AU,-42.8794,147.3294,73.26,50,20,6.91,few clouds
10,Vodyane,UA,47.4875,34.4924,35.22,68,4,5.95,clear sky
11,Port Moresby,PG,-9.4431,147.1797,82.6,75,100,10.67,overcast clouds
12,Gat,IL,31.61,34.7642,49.08,100,99,14.54,overcast clouds
13,Taoudenni,ML,22.6783,-3.9836,70.88,25,0,10.4,clear sky
14,Coihaique,CL,-45.5752,-72.0662,53.55,54,20,8.05,few clouds
15,San Cristobal,VE,7.7669,-72.225,71.78,66,8,1.41,clear sky
16,Pisco,PE,-13.7,-76.2167,68.05,73,0,10.36,clear sky
17,Mecca,SA,21.4267,39.8261,62.15,33,0,13.51,clear sky
18,Pimentel,PE,-6.8367,-79.9342,70.84,80,41,10.85,scattered clouds
19,Alofi,NU,-19.0595,-169.9187,80.49,83,75,6.91,broken clouds
20,Klaksvik,FO,62.2266,-6.589,45.52,97,99,7.85,overcast clouds
21,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,41,0,12.66,clear sky
22,Albany,US,42.6001,-73.9662,41.41,88,100,2.91,overcast clouds
23,Tiksi,RU,71.6872,128.8694,1.45,84,94,1.52,overcast clouds
24,Punta Arenas,CL,-53.15,-70.9167,46.51,71,0,11.5,clear sky
25,Tuktoyaktuk,CA,69.4541,-133.0374,-14.87,91,5,11.32,clear sky
26,Mataura,NZ,-46.1927,168.8643,67.73,46,12,3.47,few clouds
27,Aberdeen,GB,57.1437,-2.0981,47.5,100,18,2.3,mist
28,Mahebourg,MU,-20.4081,57.7,78.26,74,80,9.24,broken clouds
29,Bluff,NZ,-46.6,168.3333,60.39,74,18,9.4,few clouds
30,Kapaa,US,22.0752,-159.319,80.58,85,75,16.11,broken clouds
31,Jasper,US,37.2001,-94.3502,42.01,76,100,3.44,overcast clouds
32,Pevek,RU,69.7008,170.3133,3.72,95,99,5.12,overcast clouds
33,Kodiak,US,57.79,-152.4072,36.91,87,100,12.66,moderate rain
34,Namatanai,PG,-3.6667,152.4333,86.5,61,21,3.31,few clouds
35,Busselton,AU,-33.65,115.3333,80.26,34,62,7.92,broken clouds
36,Bengkulu,ID,-3.8004,102.2655,83.71,60,100,4.05,overcast clouds
37,Outlook,CA,51.5001,-107.0513,34.23,76,16,14.81,few clouds
38,Carnarvon,AU,-24.8667,113.6333,85.89,62,100,12.95,overcast clouds
39,Birjand,IR,32.8663,59.2211,60.62,24,15,6.53,few clouds
40,Moron,AR,-34.6534,-58.6198,54.91,97,100,13.98,overcast clouds
41,Burnie,AU,-41.0667,145.9167,73.94,49,4,6.91,clear sky
42,Guerrero Negro,MX,27.9769,-114.0611,65.52,50,74,12.86,broken clouds
43,Cape Town,ZA,-33.9258,18.4232,63.27,69,0,20.58,clear sky
44,Riyadh,SA,24.6877,46.7219,61.16,35,0,12.3,clear sky
45,Ostrovnoy,RU,68.0531,39.5131,18.19,72,100,29.95,overcast clouds
46,Tanout,NE,14.9709,8.8879,70.2,17,2,11.41,clear sky
47,Belyy Yar,RU,53.6039,91.3903,31.89,56,40,17.9,scattered clouds
48,Eureka,US,40.8021,-124.1637,51.21,87,100,3.11,overcast clouds
49,Port Keats,AU,-14.25,129.55,91.35,53,100,2.91,moderate rain
50,Ponta Do Sol,PT,32.6667,-17.1,62.01,74,55,6.35,broken clouds
51,Ostersund,SE,63.1792,14.6357,41.45,81,75,10.36,light intensity drizzle
52,Port Hardy,CA,50.6996,-127.4199,45.59,68,100,10.58,overcast clouds
53,Langarud,IR,37.197,50.1535,42.85,92,93,7.09,overcast clouds
54,Khatanga,RU,71.9667,102.5,-1.23,92,100,1.83,overcast clouds
55,Bandarbeyla,SO,9.4942,50.8122,76.33,72,50,6.58,scattered clouds
56,Arraial Do Cabo,BR,-22.9661,-42.0278,75.78,85,3,23.8,clear sky
